hour,hi,md,lw
0,460.3024275362319,458.49066666666664,453.97387799564274
1,458.1782246376812,457.3394166666667,452.32331154684096
2,457.43717391304347,459.4554722222222,453.72298474945535
3,459.9340579710145,466.4891944444444,457.3334640522876
4,467.50764492753626,473.86552777777774,452.47832244008714
5,477.31989130434783,477.0586388888888,434.92028322440086
6,486.4255797101449,467.0026111111111,407.8279520697168
7,486.8061956521739,443.9898055555555,373.7882788671024
8,479.8164492753623,414.35122222222225,339.8841176470588
9,469.6032608695652,386.8851666666667,316.59030501089325
10,461.97963768115943,369.28725000000003,304.29823529411766
11,459.87931159420293,361.71011111111113,298.3099346405229
12,464.9218115942029,365.0523333333333,299.8655991285403
13,476.80119565217393,382.2526111111111,309.6623093681917
14,491.8347826086956,413.7133888888889,330.92241830065365
15,498.45365942028985,455.9445833333333,367.6826797385621
16,495.8251811594203,488.1865833333334,412.10891067538125
17,494.521884057971,495.6768611111111,449.42368191721135
18,492.2278985507246,491.5292777777778,470.74954248366015
19,487.94858695652175,485.3090833333333,477.2161220043573
20,482.3901449275362,479.69552777777784,477.4050108932462
21,479.920688405797,474.3210555555555,473.3083224400871
22,472.69652173913045,466.52908333333335,462.9086710239651
23,464.52608695652174,459.59277777777777,457.29424836601305
